E_MeV,MACdry_Mix1,MACdry_Mix2,MACdry_Mix3,MACdry_Mix4,MACdry_Mix5,MACdry_Mix6,MACdry_Mix7,MACdry_Mix8,MACdry_Mix9,MACdry_Mix10,MACwet_Mix1,MACwet_Mix2,MACwet_Mix3,MACwet_Mix4,MACwet_Mix5,MACwet_Mix6,MACwet_Mix7,MACwet_Mix8,MACwet_Mix9,MACwet_Mix10,Zdry_Mix1,Zdry_Mix2,Zdry_Mix3,Zdry_Mix4,Zdry_Mix5,Zdry_Mix6,Zdry_Mix7,Zdry_Mix8,Zdry_Mix9,Zdry_Mix10,Zwet_Mix1,Zwet_Mix2,Zwet_Mix3,Zwet_Mix4,Zwet_Mix5,Zwet_Mix6,Zwet_Mix7,Zwet_Mix8,Zwet_Mix9,Zwet_Mix10
0.3,0.114519,0.11503,0.114009,0.113781,0.114745,0.114595,0.114444,0.114368,0.114293,0.114142,0.114931,0.115391,0.114471,0.114266,0.115135,0.114999,0.114863,0.114795,0.114727,0.114592,3.7725,3.6508,3.9037,3.9376,3.7057,3.7499,3.7953,3.8185,3.842,3.8899,3.7228,3.6163,3.8367,3.8659,3.6644,3.7031,3.7427,3.7629,3.7833,3.8248
0.356,0.107296,0.107778,0.106814,0.106601,0.107509,0.107367,0.107225,0.107154,0.107083,0.106941,0.107679,0.108113,0.107245,0.107054,0.107871,0.107743,0.107615,0.107551,0.107488,0.10736,3.7708,3.6492,3.902,3.9358,3.704,3.7482,3.7936,3.8168,3.8403,3.8882,3.7211,3.6146,3.8349,3.8641,3.6627,3.7014,3.741,3.7611,3.7815,3.8231
0.4,0.102484,0.102946,0.102022,0.101818,0.102687,0.102552,0.102416,0.102349,0.102281,0.102146,0.102849,0.103265,0.102434,0.10225,0.103032,0.10291,0.102789,0.102728,0.102667,0.102545,3.77,3.6484,3.9011,3.935,3.7032,3.7474,3.7928,3.816,3.8395,3.8874,3.7202,3.6138,3.8341,3.8632,3.6619,3.7006,3.7402,3.7603,3.7807,3.8223
0.5,0.0935428,0.0939661,0.0931195,0.0929326,0.093726,0.0936039,0.0934817,0.0934206,0.0933595,0.0932374,0.0938755,0.0942565,0.0934945,0.0933264,0.0940404,0.0939305,0.0938205,0.0937655,0.0937106,0.0936006,3.7691,3.6476,3.9003,3.9341,3.7023,3.7466,3.792,3.8152,3.8387,3.8867,3.7194,3.613,3.8332,3.8623,3.661,3.6997,3.7393,3.7595,3.7799,3.8215
0.511,0.092688,0.0931076,0.0922684,0.0920832,0.0928695,0.0927485,0.0926275,0.0925669,0.0925064,0.0923854,0.0930176,0.0933952,0.09264,0.0924733,0.093181,0.0930721,0.0929631,0.0929087,0.0928542,0.0927453,3.7691,3.6475,3.9002,3.934,3.7022,3.7465,3.7919,3.8151,3.8386,3.8866,3.7193,3.6129,3.8331,3.8622,3.6609,3.6996,3.7392,3.7594,3.7798,3.8214
0.6,0.0864915,0.086884,0.0860991,0.0859268,0.0866622,0.0865484,0.0864346,0.0863777,0.0863208,0.086207,0.0867984,0.0871516,0.0864452,0.0862902,0.086952,0.0868496,0.0867472,0.086696,0.0866448,0.0865423,3.7685,3.647,3.8995,3.9334,3.7016,3.7459,3.7913,3.8145,3.838,3.886,3.7187,3.6123,3.8324,3.8616,3.6603,3.699,3.7386,3.7588,3.7792,3.8207
0.662,0.0828123,0.0831887,0.0824358,0.0822714,0.082977,0.0828672,0.0827573,0.0827024,0.0826475,0.0825377,0.0831055,0.0834442,0.0827667,0.0826187,0.0832537,0.0831549,0.083056,0.0830066,0.0829572,0.0828583,3.7681,3.6466,3.8992,3.9331,3.7013,3.7456,3.791,3.8142,3.8376,3.8856,3.7183,3.612,3.8321,3.8612,3.66,3.6986,3.7382,3.7584,3.7788,3.8203
0.8,0.0759526,0.0762972,0.0756079,0.0754559,0.0761014,0.0760022,0.075903,0.0758533,0.0758037,0.0757045,0.0762229,0.0765331,0.0759128,0.0757759,0.0763569,0.0762676,0.0761783,0.0761336,0.0760889,0.0759996,3.7677,3.6462,3.8988,3.9326,3.7009,3.7451,3.7906,3.8138,3.8373,3.8853,3.7179,3.6116,3.8317,3.8608,3.6595,3.6982,3.7379,3.7581,3.7785,3.8201
1,0.0682854,0.0685952,0.0679755,0.0678381,0.0684176,0.0683295,0.0682413,0.0681972,0.0681531,0.0680649,0.0685288,0.0688077,0.0682499,0.0681263,0.0686479,0.0685685,0.0684891,0.0684494,0.0684097,0.0683304,3.7675,3.646,3.8985,3.9324,3.7006,3.7449,3.7904,3.8136,3.8371,3.8851,3.7177,3.6113,3.8314,3.8606,3.6592,3.698,3.7376,3.7578,3.7783,3.8199
1.173,0.0630892,0.0633768,0.0628016,0.0626765,0.0632149,0.0631311,0.0630472,0.0630053,0.0629634,0.0628795,0.0633119,0.0635707,0.063053,0.0629404,0.0634251,0.0633496,0.0632741,0.0632364,0.0631987,0.0631232,3.7676,3.6461,3.8986,3.9325,3.7008,3.745,3.7905,3.8136,3.8371,3.8851,3.7178,3.6115,3.8315,3.8606,3.6594,3.6981,3.7377,3.7578,3.7782,3.8198
