Energy_MeV,Mix1,Mix2,Mix3,Mix4,Mix5,Mix6,Mix7,Mix8,Mix9,Mix10
0.015,7.88105e-12,1.92988e-11,3.21833e-12,3.10465e-12,5.52897e-12,7.00274e-12,8.86935e-12,9.98178e-12,1.12335e-11,1.42278e-11
0.02,2.46919e-06,3.53266e-06,1.72583e-06,1.69112e-06,2.07365e-06,2.32959e-06,2.61711e-06,2.77395e-06,2.94012e-06,3.30306e-06
0.03,0.0015272,0.00167239,0.00139464,0.00139024,0.00143596,0.00149618,0.00155889,0.00159124,0.00162426,0.00169235
0.04,0.00771738,0.00793906,0.00750174,0.00752127,0.00748586,0.00763937,0.00779604,0.00787565,0.00795591,0.00811907
0.05,0.0146778,0.0147785,0.014578,0.0146482,0.0144056,0.0145865,0.01477,0.0148624,0.0149554,0.0151433
0.06,0.0206149,0.0205672,0.0206632,0.0207818,0.0203417,0.0205236,0.0207071,0.0207996,0.0208922,0.021079
0.08,0.0300179,0.0297442,0.0302942,0.0304832,0.0297478,0.029928,0.0301087,0.0301998,0.0302905,0.0304734
0.1,0.0378169,0.0373957,0.038242,0.0384806,0.0375403,0.037724,0.0379093,0.0380019,0.0380947,0.0382811
0.15,0.0550584,0.0544071,0.0557164,0.0560372,0.0547378,0.0549506,0.0551654,0.0552725,0.0553809,0.0555962
0.2,0.0711575,0.0703509,0.0719733,0.0723543,0.070787,0.0710338,0.0712814,0.0714055,0.0715299,0.0717792
0.3,0.101228,0.100199,0.102266,0.102733,0.100771,0.101074,0.10138,0.101534,0.101687,0.101994
0.356,0.11696,0.115838,0.118093,0.118597,0.116463,0.116794,0.117127,0.117293,0.11746,0.117794
0.4,0.128776,0.127592,0.129972,0.130503,0.128254,0.128601,0.128951,0.129124,0.1293,0.12965
0.5,0.153991,0.152694,0.155303,0.155881,0.153429,0.153803,0.154179,0.154367,0.154556,0.154936
0.511,0.156647,0.155337,0.157968,0.158554,0.156078,0.156459,0.156838,0.157027,0.157218,0.157599
0.6,0.177313,0.175928,0.178712,0.179328,0.176711,0.177114,0.177515,0.177718,0.17792,0.178326
0.662,0.190855,0.189422,0.192296,0.192932,0.190226,0.190645,0.191065,0.191276,0.191482,0.191904
0.8,0.218918,0.217417,0.220433,0.221104,0.218271,0.218703,0.219137,0.219356,0.219571,0.220006
1,0.255202,0.253625,0.256789,0.257494,0.254524,0.254977,0.255427,0.255652,0.255877,0.256327
1.173,0.28315,0.281523,0.28478,0.285498,0.282437,0.282912,0.283388,0.283626,0.283864,0.284336
1.33,0.306371,0.304727,0.308023,0.308751,0.305667,0.306132,0.306603,0.306843,0.307076,0.307549
1.5,0.329072,0.327417,0.330734,0.331469,0.328355,0.328835,0.329309,0.329546,0.329783,0.330258
2,0.385274,0.383667,0.386896,0.387647,0.384597,0.385051,0.385505,0.385729,0.385961,0.386416
2.51,0.430503,0.428948,0.432065,0.4328,0.429841,0.430288,0.430727,0.430943,0.431167,0.431607
3,0.46538,0.46394,0.466816,0.467545,0.464794,0.465185,0.465567,0.465762,0.465958,0.466349
4,0.519691,0.518477,0.520899,0.521628,0.519224,0.519536,0.519837,0.519993,0.520149,0.520451
5,0.558858,0.557875,0.559854,0.560571,0.558523,0.558746,0.55897,0.559082,0.559193,0.559417
6,0.588264,0.587476,0.589052,0.58976,0.588052,0.588193,0.588346,0.588417,0.588487,0.58864
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
