condition,value,E_MeV,mixture,d_mfp,B_exposure,T_primary,T_broad,T_broad_using_Geant4_MAC
thickness_cm,1,0.08,10,0.24694042377675118,,,,
thickness_cm,1,0.1,1,0.21849737466347902,,,,
thickness_cm,1,0.1,2,0.20832862967019594,,,,
thickness_cm,1,0.1,3,0.22979209338184095,,,,
thickness_cm,1,0.1,4,0.22624584856396868,,,,
thickness_cm,1,0.1,5,0.2117636436069185,,,,
thickness_cm,1,0.1,6,0.2162032081356085,,,,
thickness_cm,1,0.1,7,0.22084566149383253,,,,
thickness_cm,1,0.1,8,0.22324859228792834,,,,
thickness_cm,1,0.1,9,0.2257080968225844,,,,
thickness_cm,1,0.1,10,0.23080501151530658,,,,
thickness_cm,1,0.15,1,0.19343589258146704,,,,
thickness_cm,1,0.15,2,0.18455931057563588,,,,
thickness_cm,1,0.15,3,0.20329554748674805,,,,
thickness_cm,1,0.15,4,0.20014173368146215,,,,
thickness_cm,1,0.15,5,0.18743205682739128,,,,
thickness_cm,1,0.15,6,0.19139049502602737,,,,
thickness_cm,1,0.15,7,0.19552968823351147,,,,
thickness_cm,1,0.15,8,0.1976722059122756,,,,
thickness_cm,1,0.15,9,0.19986378480086311,,,,
thickness_cm,1,0.15,10,0.20440829762016996,,,,
thickness_cm,1,0.2,1,0.17632304476431213,,,,
thickness_cm,1,0.2,2,0.16826679708733924,,,,
thickness_cm,1,0.2,3,0.1852702361192036,,,,
thickness_cm,1,0.2,4,0.1823926579634465,,,,
thickness_cm,1,0.2,5,0.17084368754078147,,,,
thickness_cm,1,0.2,6,0.17445552477694012,,,,
thickness_cm,1,0.2,7,0.17823352161139627,,,,
thickness_cm,1,0.2,8,0.18018845470897468,,,,
thickness_cm,1,0.2,9,0.18218941405006656,,,,
thickness_cm,1,0.2,10,0.18633606998074045,,,,
thickness_cm,1,0.3,1,0.15280672274251575,,,,
thickness_cm,1,0.3,2,0.1458465234676078,,,,
thickness_cm,1,0.3,3,0.16053806137820287,,,,
thickness_cm,1,0.3,4,0.15804567101827677,,,,
thickness_cm,1,0.3,5,0.14805790555320814,,,,
thickness_cm,1,0.3,6,0.1511890710263439,,,,
thickness_cm,1,0.3,7,0.15446293350771367,,,,
thickness_cm,1,0.3,8,0.15615631843960334,,,,
thickness_cm,1,0.3,9,0.15789095327659772,,,,
thickness_cm,1,0.3,10,0.16148428113509944,,,,
thickness_cm,1,0.356,1,0.1431688202252986,,,,
thickness_cm,1,0.356,2,0.13665171352074967,,,,
thickness_cm,1,0.356,3,0.15040665638722697,,,,
thickness_cm,1,0.356,4,0.14807240731070498,,,,
thickness_cm,1,0.356,5,0.13872114138411132,,,,
thickness_cm,1,0.356,6,0.14165292542332097,,,,
thickness_cm,1,0.356,7,0.14471958377341404,,,,
thickness_cm,1,0.356,8,0.14630643314631067,,,,
thickness_cm,1,0.356,9,0.1479306427315576,,,,
thickness_cm,1,0.356,10,0.1512965473609072,,,,
thickness_cm,1,0.4,1,0.13674799966419532,,,,
thickness_cm,1,0.4,2,0.1305252212891972,,,,
thickness_cm,1,0.4,3,0.14365895760796965,,,,
thickness_cm,1,0.4,4,0.1414286579634465,,,,
thickness_cm,1,0.4,5,0.13249921258043734,,,,
thickness_cm,1,0.4,6,0.1353003325790272,,,,
thickness_cm,1,0.4,7,0.1382289661155325,,,,
thickness_cm,1,0.4,8,0.13974575961785607,,,,
thickness_cm,1,0.4,9,0.14129688250447262,,,,
thickness_cm,1,0.4,10,0.14451274185510915,,,,
thickness_cm,1,0.5,1,0.12481770942379125,,,,
thickness_cm,1,0.5,2,0.11913948034562491,,,,
thickness_cm,1,0.5,3,0.13112248802705814,,,,
thickness_cm,1,0.5,4,0.12908709138381202,,,,
thickness_cm,1,0.5,5,0.12093664434947045,,,,
thickness_cm,1,0.5,6,0.12349493262664075,,,,
thickness_cm,1,0.5,7,0.12617091284967397,,,,
thickness_cm,1,0.5,8,0.12755560493272755,,,,
thickness_cm,1,0.5,9,0.1289728977094237,,,,
thickness_cm,1,0.5,10,0.13190858684965454,,,,
thickness_cm,1,0.511,1,0.1236768529026476,,,,
thickness_cm,1,0.511,2,0.118051622246562,,,,
thickness_cm,1,0.511,3,0.1299241800844146,,,,
thickness_cm,1,0.511,4,0.12790641253263707,,,,
thickness_cm,1,0.511,5,0.11983212940630475,,,,
thickness_cm,1,0.511,6,0.12236558278765518,,,,
thickness_cm,1,0.511,7,0.1250169352872933,,,,
thickness_cm,1,0.511,8,0.1263895663909377,,,,
thickness_cm,1,0.511,9,0.12779313277107912,,,,
thickness_cm,1,0.511,10,0.13070320576708103,,,,
thickness_cm,1,0.6,1,0.11540931254591529,,,,
thickness_cm,1,0.6,2,0.1101602133787676,,,,
thickness_cm,1,0.6,3,0.12123750358832976,,,,
thickness_cm,1,0.6,4,0.11935551958224544,,,,
thickness_cm,1,0.6,5,0.11182181542596299,,,,
thickness_cm,1,0.6,6,0.11418571245855415,,,,
thickness_cm,1,0.6,7,0.11665970830921,,,,
thickness_cm,1,0.6,8,0.1179392004247347,,,,
thickness_cm,1,0.6,9,0.11924881644360713,,,,
thickness_cm,1,0.6,10,0.1219627781518943,,,,
thickness_cm,1,0.662,1,0.11049895933210396,,,,
thickness_cm,1,0.662,2,0.10547532331345584,,,,
thickness_cm,1,0.662,3,0.11607956940042918,,,,
thickness_cm,1,0.662,4,0.11427721148825065,,,,
thickness_cm,1,0.662,5,0.10706698182133034,,,,
thickness_cm,1,0.662,6,0.10932924428413143,,,,
thickness_cm,1,0.662,7,0.1116955802689338,,,,
thickness_cm,1,0.662,8,0.1129200462331428,,,,
thickness_cm,1,0.662,9,0.11417472204250695,,,,
thickness_cm,1,0.662,10,0.11677199975757248,,,,
thickness_cm,1,0.8,1,0.10134675479581816,,,,
thickness_cm,1,0.8,2,0.09673695732424649,,,,
thickness_cm,1,0.8,3,0.10646494351045234,,,,
thickness_cm,1,0.8,4,0.10481094516971279,,,,
thickness_cm,1,0.8,5,0.09819473328253686,,,,
thickness_cm,1,0.8,6,0.10027201689553812,,,,
thickness_cm,1,0.8,7,0.10244486423085518,,,,
thickness_cm,1,0.8,8,0.10356852635876498,,,,
thickness_cm,1,0.8,9,0.10472002504247165,,,,
thickness_cm,1,0.8,10,0.10710490006599414,,,,
thickness_cm,1,1,1,0.09111507315356131,,,,
thickness_cm,1,1,2,0.08697159243032737,,,,
