kind,mix,E_MeV,Zeq_EpiXS,Zeq_epixs_cli,max_abs_rel_diff_%_1to40mfp,rel_diff_%_at_40mfp,error
exposure,1,0.015,6.62237,6.620760723104481,0.08092252443279158,0.08092252443279158,
exposure,1,0.02,6.6353,6.634495238903527,0.08383737355901477,0.08383737355901477,
exposure,1,0.03,6.64301,6.640987397738167,0.392263392140757,0.392263392140757,
exposure,1,0.04,6.64592,6.644735190901443,0.29531648830092294,0.29531648830092294,
exposure,1,0.05,6.64887,6.648199270939959,0.16256101156530978,0.16256101156530978,
exposure,1,0.06,6.65272,6.651839359197773,0.19592727036830127,0.19592727036830127,
exposure,1,0.08,6.66004,6.657451663447679,0.47808124356434334,0.47808124356434334,
exposure,1,0.1,6.66369,6.661840721874035,0.2973985946375546,0.2973985946375546,
exposure,1,0.15,6.66516,6.668419764349578,0.3720952017225221,-0.3720952017225221,
exposure,1,0.2,6.6691,6.669011679696537,0.00944396901538802,0.00944396901538802,
exposure,1,0.3,6.67464,6.674486700739517,0.010941563594002446,0.010941563594002446,
exposure,1,0.4,6.67652,6.676364266341182,0.007447866177834328,0.00690032782080241,
exposure,1,0.5,6.67708,6.677295458196554,0.011090313507322591,-0.011090313507322591,
exposure,1,0.6,6.67779,6.677805087340578,0.0006840316593925699,-0.0004371825766069648,
exposure,1,0.8,6.6773,6.677809910506565,0.00967868952902462,-0.009481980519088218,
exposure,1,1.0,6.67971,6.678522222765678,0.020860443021941677,0.020720924240102967,
exposure,1,1.5,6.03662,6.037599786830112,0.00811513572570588,-0.004151019753728669,
exposure,1,2.0,6.01119,6.010499497948119,0.0052979464853608604,0.0052979464853608604,
exposure,1,3.0,6.00316,6.003476294096964,0.0012720884575045943,-0.0006735103372679241,
exposure,1,4.0,5.9997,5.999588208347754,0.0005072794716731721,7.134690487298201e-05,
exposure,1,5.0,5.99843,5.998608356798527,0.0004952813872360906,3.991764081501259e-05,
exposure,1,6.0,5.997,5.997171516042523,0.0005728108573244128,0.0004644828155431213,
