set,material,E_MeV,F_photoelectric,F_incoherent,F_coherent,F_pair,mac_total_cm2_g
new,Mix3,0.4,0.000270,0.996831,0.002899,0.000000,0.102022
new,Mix3,0.5,0.000160,0.997805,0.002035,0.000000,0.093119
new,Mix3,0.511,0.000152,0.997881,0.001966,0.000000,0.092268
new,Mix3,0.6,0.000108,0.998363,0.001529,0.000000,0.086099
new,Mix3,0.662,0.000087,0.998600,0.001313,0.000000,0.082436
new,Mix3,0.8,0.000062,0.998958,0.000980,0.000000,0.075608
new,Mix3,1,0.000043,0.999259,0.000698,0.000000,0.067975
new,Mix3,1.173,0.000032,0.999330,0.000549,0.000089,0.062802
new,Mix3,1.33,0.000028,0.998954,0.000456,0.000562,0.058879
new,Mix3,1.5,0.000024,0.997994,0.000381,0.001601,0.055322
new,Mix3,2,0.000018,0.992305,0.000250,0.007427,0.047480
new,Mix3,2.51,0.000014,0.983442,0.000179,0.016364,0.041959
new,Mix3,3,0.000012,0.973028,0.000138,0.026821,0.038091
new,Mix3,4,0.000010,0.948089,0.000091,0.051810,0.032610
new,Mix3,5,0.000008,0.920579,0.000065,0.079348,0.029004
new,Mix3,6,0.000007,0.891828,0.000050,0.108115,0.026462
new,Mix3,7,0.000007,0.863030,0.000039,0.136924,0.024578
new,Mix3,8,0.000006,0.834652,0.000032,0.165310,0.023129
new,Mix3,9,0.000006,0.806997,0.000027,0.192971,0.021989
new,Mix3,10,0.000005,0.780406,0.000023,0.219566,0.021067
new,Mix3,11,0.000005,0.754982,0.000019,0.244994,0.020312
new,Mix3,12,0.000005,0.730733,0.000017,0.269246,0.019681
new,Mix3,13,0.000004,0.707476,0.000015,0.292506,0.019148
new,Mix3,14,0.000004,0.685420,0.000013,0.314563,0.018699
new,Mix3,15,0.000004,0.664447,0.000012,0.335537,0.018314
new,Mix4,0.01,0.916753,0.035988,0.047259,0.000000,4.103287
new,Mix4,0.015,0.790565,0.122939,0.086496,0.000000,1.324906
new,Mix4,0.02,0.628660,0.256998,0.114342,0.000000,0.664506
new,Mix4,0.03,0.342679,0.536007,0.121315,0.000000,0.328914
new,Mix4,0.04,0.180521,0.719760,0.099718,0.000000,0.244501
new,Mix4,0.05,0.100661,0.821664,0.077675,0.000000,0.211172
new,Mix4,0.06,0.060303,0.878912,0.060786,0.000000,0.193684
new,Mix4,0.08,0.025990,0.934542,0.039467,0.000000,0.174529
new,Mix4,0.1,0.013378,0.958977,0.027646,0.000000,0.162880
new,Mix4,0.15,0.004026,0.981745,0.014229,0.000000,0.144087
new,Mix4,0.2,0.001752,0.989384,0.008864,0.000000,0.131309
new,Mix4,0.3,0.000574,0.994847,0.004579,0.000000,0.113781
new,Mix4,0.356,0.000368,0.996155,0.003477,0.000000,0.106601
new,Mix4,0.4,0.000275,0.996839,0.002886,0.000000,0.101818
new,Mix4,0.5,0.000163,0.997811,0.002026,0.000000,0.092933
