set,material,E_MeV,Zeq,B_1mfp,B_2mfp,B_3mfp,B_4mfp,B_5mfp,B_6mfp,B_7mfp,B_8mfp,B_9mfp,B_10mfp,B_11mfp,B_12mfp,B_15mfp,B_20mfp,B_25mfp,B_30mfp,B_35mfp,B_40mfp
old,Mix8,11,6.07513,1.3546,1.6665,1.95548,2.22902,2.49156,2.74607,2.99471,3.23907,3.48037,3.71956,3.95737,4.19433,4.90325,6.07794,7.20961,8.25464,9.23926,10.268
old,Mix8,12,6.07457,1.33427,1.627,1.89756,2.15326,2.39843,2.63593,2.86786,3.09576,3.3208,3.5439,3.76576,3.98689,4.64898,5.74802,6.80725,7.77805,8.67431,9.59111
old,Mix8,13,6.07406,1.31557,1.59079,1.84461,2.08414,2.31357,2.53569,2.75251,2.96552,3.17586,3.38441,3.59183,3.79864,4.41832,5.44889,6.44333,7.34994,8.17212,8.99516
old,Mix8,14,6.07447,1.29824,1.55737,1.79585,2.02059,2.23566,2.44376,2.64681,2.84627,3.04322,3.2385,3.43278,3.62653,4.20753,5.1756,6.11137,6.96147,7.72057,8.46427
old,Mix8,15,6.07453,1.28212,1.52637,1.75071,1.96186,2.16375,2.35898,2.54941,2.73643,2.92111,3.10423,3.28645,3.46821,4.01365,4.9242,5.80621,6.60571,7.31021,7.986
old,Mix9,0.015,6.74657,1.27475,1.42659,1.53225,1.61358,1.6805,1.73823,1.78979,1.83702,1.8811,1.92279,1.96262,2.0009,2.10823,2.26345,2.38367,2.47001,2.54222,2.62553
old,Mix9,0.02,6.76278,1.63527,2.05926,2.39247,2.67297,2.91979,3.14394,3.35233,3.54956,3.73877,3.92219,4.10138,4.27748,4.79358,5.62018,6.37216,7.00802,7.56389,8.15715
old,Mix9,0.03,6.77541,2.9263,4.71955,6.46277,8.18745,9.91299,11.6533,13.419,15.219,17.0607,18.9505,20.8939,22.8957,29.2881,41.3262,54.9124,69.5089,85.035,102.651
old,Mix9,0.04,6.78291,4.20554,8.38936,13.4529,19.3918,26.2168,33.9428,42.5853,52.1596,62.6804,74.1621,86.6199,100.07,146.598,247.102,384.392,571.212,812.624,1095
old,Mix9,0.05,6.78819,5.03352,11.4003,20.2036,31.7143,46.2233,64.0191,85.3776,110.558,139.799,173.325,211.343,254.056,412.496,796.272,1394.8,2332.69,3701.95,5401.86
old,Mix9,0.06,6.79299,5.19853,12.6921,24.0008,39.8851,61.1644,88.6783,123.261,165.725,216.847,277.363,347.978,429.371,745.257,1569.62,2973.05,5381.94,9166.97,14020.8
old,Mix9,0.08,6.79975,4.9034,12.6915,25.4486,44.6333,71.8931,109.01,157.852,220.329,298.357,393.832,508.618,644.565,1198.54,2761.95,5642.59,10913.3,19489.6,30428.9
old,Mix9,0.1,6.80490,4.59572,11.8677,23.9694,42.477,69.2374,106.33,156.031,220.775,303.115,405.692,531.206,682.412,1318.97,3199.49,6734.36,13305,24699.7,41183.8
old,Mix9,0.15,6.81272,3.70924,9.24366,18.5104,32.7431,53.3837,82.0501,120.504,170.618,234.337,313.652,410.574,527.124,1015.13,2434.61,5037.36,9729.58,17564.4,28359.6
old,Mix9,0.2,6.81293,3.33126,7.90431,15.3219,26.4041,42.0829,63.3727,91.3453,127.105,171.764,226.428,292.177,370.065,686.908,1563.28,3089.29,5737.52,10080.7,16076.1
