set,material,E_MeV,Zeq,B_1mfp,B_2mfp,B_3mfp,B_4mfp,B_5mfp,B_6mfp,B_7mfp,B_8mfp,B_9mfp,B_10mfp,B_11mfp,B_12mfp,B_15mfp,B_20mfp,B_25mfp,B_30mfp,B_35mfp,B_40mfp
new,Mix1,9,6.07370,1.4035,1.76121,2.09441,2.41118,2.7163,3.01298,3.30355,3.58973,3.87282,4.15382,4.43348,4.71232,5.54649,6.92091,8.22006,9.38453,10.4555,11.5691
new,Mix1,10,6.07068,1.37209,1.70001,2.00441,2.2931,2.57069,2.84026,3.10402,3.3636,3.62021,3.87478,4.12796,4.38021,5.13307,6.36466,7.53087,8.64727,9.82711,11.1966
new,Mix1,11,6.07090,1.34941,1.65627,1.94052,2.20969,2.4682,2.71902,2.96427,3.20551,3.44394,3.68044,3.91567,4.15008,4.85045,6.00038,7.0892,8.10746,9.1422,10.3186
new,Mix1,12,6.07024,1.32871,1.61647,1.88251,2.13407,2.37541,2.60938,2.83801,3.06282,3.28493,3.50522,3.72434,3.94273,4.59588,5.67215,6.69415,7.63565,8.55811,9.57912
new,Mix1,13,6.06960,1.30968,1.57996,1.8294,2.06495,2.29071,2.5094,2.72298,2.93291,3.14026,3.34589,3.55043,3.75433,4.36462,5.37371,6.33614,7.2151,8.04939,8.9448
new,Mix1,14,6.06984,1.29204,1.54624,1.78043,2.00132,2.21282,2.41757,2.61742,2.81378,3.00768,3.19995,3.3912,3.58188,4.15302,5.10037,6.00851,6.83457,7.59838,8.39179
new,Mix1,15,6.07010,1.27562,1.51491,1.73503,1.9424,2.1408,2.33272,2.51996,2.70386,2.88543,3.06544,3.24449,3.42303,3.95817,4.84834,5.70621,6.48596,7.19217,7.90216
new,Mix2,0.015,6.77722,1.26589,1.41145,1.51256,1.59049,1.65479,1.71046,1.76036,1.80623,1.84917,1.88991,1.92891,1.96647,2.07198,2.2241,2.33998,2.42188,2.49221,2.57701
new,Mix2,0.02,6.80972,1.60271,2.00369,2.31782,2.58144,2.81275,3.02226,3.21656,3.40001,3.57563,3.74551,3.91116,4.07365,4.54818,5.30344,5.98582,6.55921,7.05686,7.58387
new,Mix2,0.03,6.84883,2.74705,4.34007,5.8692,7.36798,8.85662,10.3492,11.8565,13.3871,14.9479,16.5449,18.183,19.8666,25.2199,35.2029,46.255,57.774,69.6308,82.8625
