Energy_MeV,Mix1,Mix2,Mix3,Mix4,Mix5,Mix6,Mix7,Mix8,Mix9,Mix10
0.015,1.5287e-15,2.6009e-14,6.5674e-17,1.03518e-16,2.98123e-15,1.91948e-15,1.21109e-15,9.54304e-16,7.47738e-16,4.5105e-16
0.02,3.29449e-08,1.22332e-07,7.67393e-09,9.61033e-09,4.64262e-08,3.70305e-08,2.92306e-08,2.58637e-08,2.28181e-08,1.76014e-08
0.03,0.000174732,0.000301627,9.52942e-05,0.000107561,0.000214685,0.000187439,0.000162628,0.00015111,0.000140165,0.000119939
0.04,0.00151767,0.00217329,0.00101854,0.00112227,0.00180754,0.00161082,0.00142791,0.00134159,0.00125861,0.00110265
0.05,0.00357858,0.00477832,0.00259581,0.00283277,0.00420642,0.00378127,0.00338256,0.003193,0.00300997,0.00266339
0.06,0.00563058,0.00726564,0.0042423,0.00460472,0.00656565,0.00593333,0.00533699,0.00505241,0.00477671,0.00425244
0.08,0.00929642,0.0115992,0.00727068,0.00783986,0.0107218,0.00975974,0.00884544,0.00840661,0.00797976,0.00716313
0.1,0.0126519,0.0155053,0.0100937,0.0108356,0.0144759,0.0132459,0.0120714,0.011505,0.0109528,0.00989129
0.15,0.0208851,0.0249424,0.0171474,0.0182638,0.0235497,0.0217572,0.0200286,0.0191885,0.0183656,0.01677
0.2,0.0294088,0.0345504,0.0245903,0.026047,0.0328149,0.030528,0.0283063,0.0272209,0.0261531,0.0240716
0.3,0.0470693,0.0540995,0.0403259,0.042387,0.0517589,0.048617,0.0455357,0.0440193,0.0425184,0.0395699
0.356,0.0570757,0.0650217,0.0493838,0.0517439,0.0623855,0.0588326,0.0553327,0.0536042,0.0518908,0.0485126
0.4,0.0648966,0.0734975,0.056519,0.0590971,0.0706523,0.066803,0.0630026,0.0611201,0.0592531,0.0555621
0.5,0.0823848,0.0922928,0.0726247,0.0756421,0.0890344,0.0845934,0.080185,0.0779949,0.0758151,0.0714919
0.511,0.0842862,0.0943228,0.0743863,0.0774496,0.091023,0.0865259,0.0820572,0.0798352,0.0776252,0.0732363
0.6,0.0994414,0.110449,0.0885002,0.0918948,0.106839,0.101905,0.0969855,0.0945351,0.0920912,0.0872258
0.662,0.109703,0.121298,0.0981173,0.101719,0.117497,0.1123,0.107109,0.104517,0.101927,0.0967679
0.8,0.131739,0.144462,0.118921,0.12292,0.140311,0.134601,0.128877,0.126013,0.123144,0.117408
1,0.161653,0.17562,0.14744,0.151892,0.17108,0.164808,0.158489,0.155315,0.152132,0.145741
1.173,0.185697,0.200465,0.170563,0.175313,0.195665,0.189036,0.182343,0.178973,0.175588,0.168771
1.33,0.206291,0.221641,0.190487,0.195456,0.216673,0.209769,0.202788,0.19927,0.195727,0.18859
1.5,0.226936,0.242771,0.210557,0.215715,0.237645,0.230533,0.223315,0.219669,0.216,0.208589
2,0.280078,0.296822,0.262593,0.268117,0.291423,0.283896,0.276231,0.272343,0.268427,0.260483
2.51,0.32479,0.341921,0.306768,0.312457,0.336395,0.328705,0.320841,0.316842,0.312808,0.304604
3,0.360367,0.377665,0.342073,0.347835,0.3721,0.364324,0.356354,0.352303,0.348205,0.339863
4,0.417551,0.434816,0.399167,0.404953,0.429256,0.421504,0.413534,0.409475,0.405361,0.396957
5,0.460061,0.477127,0.441834,0.447547,0.47163,0.463972,0.456094,0.452071,0.447989,0.439648
6,0.492642,0.509451,0.474624,0.480242,0.504048,0.496501,0.48874,0.484765,0.48073,0.472489
7,0.518294,0.534855,0.500487,0.506004,0.529529,0.522096,0.514432,0.510511,0.506529,0.498374
8,0.538944,0.555296,0.521333,0.526774,0.550017,0.542688,0.535126,0.531262,0.527321,0.519261
9,0.555755,0.57193,0.538342,0.543694,0.566716,0.559467,0.551998,0.548165,0.544269,0.536284
10,0.569782,0.585801,0.552503,0.557784,0.580617,0.573457,0.566046,0.562249,0.558389,0.55049
11,0.581518,0.597397,0.564377,0.569591,0.59227,0.585165,0.577825,0.574056,0.570238,0.562392
12,0.591519,,0.574495,0.579648,0.602195,0.595131,0.587847,0.584113,0.580315,0.572524
13,0.600121,,0.583184,0.588294,,0.603704,0.596462,0.592758,0.588973,0.58124
14,,,0.590605,0.595662,,,0.603833,0.600136,0.596375,0.588672
15,,,0.597044,0.602067,,,,,0.602802,0.59512
