Energy_MeV,Mix1,Mix2,Mix3,Mix4,Mix5,Mix6,Mix7,Mix8,Mix9,Mix10
0.015,1.77623e-11,4.50345e-11,7.00722e-12,6.73517e-12,1.23502e-11,1.57356e-11,2.00499e-11,2.26328e-11,2.55482e-11,3.25558e-11
0.02,9.74075e-06,1.47047e-05,6.45284e-06,6.29566e-06,8.03078e-06,9.13346e-06,1.03885e-05,1.10797e-05,1.18169e-05,1.34433e-05
0.03,0.0154238,0.0182962,0.013302,0.0131596,0.0139662,0.0149154,0.0159496,0.016493,0.0170546,0.0182346
0.04,0.165408,0.185199,0.153515,0.15236,0.156159,0.161402,0.169772,0.174243,0.17882,0.188311
0.05,0.475486,0.516958,0.454664,0.451747,0.457579,0.469445,0.485427,0.496146,0.507077,0.529586
0.06,0.794873,0.846099,0.76833,0.763889,0.769673,0.786391,0.805216,0.820794,0.83663,0.869132
0.08,1.1474,1.19432,1.1206,1.11498,1.11827,1.13762,1.15728,1.17192,1.19039,1.22814
0.1,1.23208,1.26759,1.20829,1.20261,1.20402,1.22265,1.24158,1.25217,1.2685,1.30178
0.15,1.07574,1.09063,1.06574,1.06307,1.06031,1.07057,1.08092,1.08613,1.09485,1.11735
0.2,0.940751,0.94926,0.934628,0.932842,0.929696,0.937051,0.944467,0.948199,0.954021,0.97073
0.3,0.81628,0.819579,0.813151,0.812185,0.808831,0.813782,0.818785,0.821306,0.824213,0.834514
0.356,0.778748,0.780906,0.776618,0.775959,0.772563,0.776677,0.780827,0.782916,0.785159,0.79381
0.4,0.753688,0.755228,0.752171,0.751717,0.748312,0.751886,0.755496,0.757307,0.75917,0.766748
0.5,0.72072,0.721479,0.719985,0.719794,0.716449,0.719291,0.722156,0.723597,0.725044,0.730891
0.511,0.717991,0.71866,0.717338,0.717182,0.713834,0.716603,0.719389,0.720787,0.722197,0.727983
0.6,0.698254,0.698306,0.698222,0.698292,0.694955,0.697154,0.699363,0.700476,0.701593,0.707017
0.662,0.691599,0.691596,0.691609,0.691684,0.688422,0.690536,0.692666,0.693736,0.694805,0.699394
0.8,0.680032,0.680043,0.680033,0.680105,0.67707,0.679042,0.68103,0.682033,0.683033,0.686259
1,0.673897,0.673063,0.67474,0.67515,0.672051,0.673282,0.674514,0.675132,0.675752,0.678468
1.173,0.688619,0.689726,0.687543,0.687959,0.687327,0.688188,0.68905,0.689482,0.689914,0.690773
1.33,0.699237,0.700172,0.69834,0.699241,0.699622,0.699361,0.699109,0.698987,0.69886,0.698614
1.5,0.702207,0.702779,0.701667,0.702601,0.702703,0.702373,0.702042,0.701878,0.701715,0.701393
2,0.712414,0.713017,0.711942,0.712836,0.712977,0.712603,0.712233,0.712046,0.711868,0.711508
2.51,0.7227,0.723126,0.722299,0.72312,0.723197,0.722869,0.722539,0.722371,0.722212,0.72189
3,0.730071,0.730412,0.729636,0.730424,0.730592,0.730244,0.729892,0.729722,0.729553,0.729217
4,0.741762,0.741909,0.741696,0.74239,0.742028,0.74185,0.741666,0.74158,0.741494,0.741316
5,0.748287,0.748233,0.748485,0.749109,0.748387,0.74832,0.748254,0.748222,0.748191,0.748129
6,0.756289,0.756092,0.756606,0.757184,0.756309,0.756295,0.756292,0.756286,0.756281,0.75628
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
