condition,value,E_MeV,d_min_mfp,d_max_mfp,spread_primary_pct,spread_broad_pct,best_mix_primary,best_mix_broad,worst_mix_broad,spearman_primary_vs_broad
thickness_cm,20,6,0.67442,0.74974,7.8229,4.9848,10,10,2,1
thickness_cm,20,7,0.62576,0.6964,7.3201,4.8704,10,10,2,1
thickness_cm,20,8,0.58825,0.65535,6.9395,4.8056,10,10,2,1
thickness_cm,20,9,0.55874,0.62309,6.6469,4.7028,10,10,2,1
thickness_cm,20,10,0.53477,0.59695,6.4145,4.6314,10,10,2,1
thickness_cm,20,11,0.51517,0.57556,6.2242,4.5554,10,10,2,1
thickness_cm,50,0.03,20.266,23.146,1682.4,1917,3,3,2,1
thickness_cm,50,0.04,15.329,17.223,565.04,625.44,3,3,2,0.98788
thickness_cm,50,0.05,13.359,14.885,359.74,364,3,3,2,0.98788
thickness_cm,50,0.06,12.311,13.657,283.87,264.9,3,3,2,0.98788
thickness_cm,50,0.08,11.142,12.347,233.67,185.2,10,3,2,0.96364
thickness_cm,50,0.1,10.416,11.54,207.66,151.33,10,3,2,0.96364
thickness_cm,50,0.15,9.228,10.22,169.78,110.83,10,3,2,0.98788
thickness_cm,50,0.2,8.4133,9.3168,146.81,93.127,10,3,2,0.98788
thickness_cm,50,0.3,7.2923,8.0742,118.56,74.12,10,3,2,0.98788
thickness_cm,50,0.356,6.8326,7.5648,107.97,67.584,10,3,2,0.98788
thickness_cm,50,0.4,6.5263,7.2256,101.25,63.49,10,3,2,0.98788
thickness_cm,50,0.5,5.957,6.5954,89.355,56.333,10,3,2,0.98788
thickness_cm,50,0.511,5.9026,6.5352,88.246,55.66,10,3,2,0.98788
thickness_cm,50,0.6,5.508,6.0981,80.422,50.961,10,3,2,0.98788
thickness_cm,50,0.662,5.2738,5.8386,75.916,48.218,10,3,2,0.98788
thickness_cm,50,0.8,4.8368,5.3552,67.933,43.39,10,3,2,0.98788
thickness_cm,50,1,4.3486,4.8148,59.396,38.539,10,10,2,1
thickness_cm,50,1.173,4.0178,4.448,53.763,36.873,10,10,2,1
thickness_cm,50,1.33,3.7667,4.1704,49.737,35.453,10,10,2,1
thickness_cm,50,1.5,3.5391,3.9185,46.139,33.228,10,10,2,1
thickness_cm,50,2,3.0366,3.363,38.609,28.033,10,10,2,1
thickness_cm,50,2.51,2.6829,2.9719,33.498,24.396,10,10,2,1
thickness_cm,50,3,2.4344,2.698,30.169,22.115,10,10,2,1
thickness_cm,50,4,2.0821,2.3098,25.575,18.841,10,10,2,1
thickness_cm,50,5,1.8499,2.0545,22.694,16.815,10,10,2,1
thickness_cm,50,6,1.6861,1.8744,20.72,15.434,10,10,2,1
thickness_cm,50,7,1.5644,1.741,19.317,14.618,10,10,2,1
thickness_cm,50,8,1.4706,1.6384,18.262,14.065,10,10,2,1
thickness_cm,50,9,1.3968,1.5577,17.455,13.569,10,10,2,1
thickness_cm,50,10,1.3369,1.4924,16.816,13.202,10,10,2,1
thickness_cm,50,11,1.2879,1.4389,16.295,12.888,10,10,2,1
thickness_cm,50,12,1.2469,1.3943,15.882,12.657,10,10,2,1
thickness_cm,50,13,1.2121,1.3565,15.531,12.472,10,10,2,1
thickness_cm,50,14,1.1828,1.3247,15.253,12.342,10,10,2,1
thickness_cm,50,15,1.1576,1.2975,15.015,12.24,10,10,2,1
thickness_cm,100,0.04,30.658,34.447,4322.8,5104.1,3,3,2,0.98788
thickness_cm,100,0.05,26.718,29.769,2013.6,2074,3,3,2,0.98788
thickness_cm,100,0.06,24.623,27.313,1373.5,1292.9,3,3,2,1
thickness_cm,100,0.08,22.284,24.694,1013.3,804.68,10,3,2,0.98788
thickness_cm,100,0.1,20.833,23.081,846.54,639.27,10,3,2,0.98788
thickness_cm,100,0.15,18.456,20.441,627.83,432.2,10,3,2,0.98788
thickness_cm,100,0.2,16.827,18.634,509.17,349.05,10,3,2,0.98788
