Energy_MeV,Mix1,Mix2,Mix3,Mix4,Mix5,Mix6,Mix7,Mix8,Mix9,Mix10
0.015,2.24407,2.33998,2.15524,2.14703,2.21854,2.23546,2.25278,2.26158,2.27049,2.28862
0.02,5.48708,5.98582,5.04015,5.00945,5.31545,5.42889,5.54629,5.60653,5.66782,5.79367
0.03,38.8926,46.255,34.4049,33.9705,35.6911,37.757,40.0619,41.2657,42.5047,45.091
0.04,247.098,315.814,224.324,221.169,230.515,236.461,259.755,272.975,286.774,316.172
0.05,991.939,1248.23,925.66,910.245,948.339,977.381,1040.58,1096.83,1155.71,1281.71
0.06,2422.85,2914.95,2265.14,2225.44,2311.17,2385.53,2483.2,2612.7,2748.16,3037.83
0.08,5454.27,6207.7,5121.31,5028.22,5193.94,5367.09,5541.8,5725.4,5991.15,6556.34
0.1,6883.88,7707.73,6455.83,6330.17,6526.72,6763.16,7006.28,7162.96,7509.15,8239.74
0.15,5552.67,5881.18,5349.56,5279.61,5367.06,5491.39,5613.32,5673.28,5828.89,6288.48
0.2,3447.57,3592.71,3336.16,3295.78,3339.82,3411.8,3483.15,3518.55,3586.36,3804.63
0.3,1436.52,1471.88,1401.97,1388.82,1401.33,1424.8,1448.23,1459.92,1475.33,1550.51
0.356,978.141,998.24,957.722,949.783,956.943,971.079,985.195,992.242,1000.29,1045.72
0.4,734.159,747.104,720.988,715.793,720.319,729.551,738.759,743.352,748.144,778.478
0.5,442.653,448.971,436.248,433.68,435.812,440.373,444.933,447.211,449.488,465.171
0.511,423.153,429.038,417.182,414.785,416.768,421.025,425.279,427.404,429.527,444.159
0.6,296.43,299.692,293.104,291.752,292.844,295.237,297.62,298.807,299.991,307.67
0.662,246.594,249.33,243.833,242.703,243.58,245.588,247.602,248.61,249.62,254.99
0.8,165.368,166.848,163.889,163.288,163.758,164.829,165.91,166.454,167.001,169.568
1,108.312,109.01,107.609,107.321,107.545,108.056,108.568,108.825,109.083,110.456
1.173,91.1026,92.4781,89.7386,89.571,90.8425,91.0157,91.1897,91.277,91.3645,91.5402
1.33,75.4966,76.4265,74.5838,74.6458,75.8881,75.6267,75.3668,75.2373,75.1081,74.8508
1.5,58.5688,59.0515,58.1032,58.1522,58.8316,58.6558,58.4825,58.3967,58.3115,58.1427
2,39.4179,39.7533,39.0758,39.118,39.6269,39.4874,39.3486,39.2796,39.2107,39.0735
2.51,30.2302,30.4452,30.0075,30.035,30.3696,30.2764,30.1844,30.1388,30.0935,30.0039
3,23.4288,23.5219,23.3408,23.3518,23.4852,23.4474,23.4103,23.3921,23.374,23.3384
4,16.9369,16.9543,16.9338,16.9343,16.9381,16.9373,16.9364,16.9358,16.9352,16.9337
5,13.49,13.484,13.509,13.5067,13.4776,13.4859,13.494,13.498,13.5019,13.5097
6,11.6368,11.6251,11.6454,11.6445,11.6297,11.6346,11.6389,11.6408,11.6426,11.6457
7,10.1699,10.1574,10.1821,10.1806,10.1619,10.1673,10.1725,10.1751,10.1776,10.1825
8,9.03222,9.02074,9.03724,9.0366,9.0284,9.03115,9.03327,9.0343,9.03533,9.03742
9,8.22006,8.20162,8.24629,8.24293,8.20444,8.21462,8.22549,8.23093,8.23638,8.24728
10,7.53087,7.50898,7.57099,7.56601,7.50787,7.52237,7.53931,7.54768,7.55598,7.57239
11,7.0892,7.06834,7.12266,7.11848,7.06977,7.08217,7.09619,7.10315,7.11007,7.12381
12,6.69415,6.6742,6.72248,6.71892,6.67763,6.68824,6.70005,6.70594,6.7118,6.72349
13,6.33614,6.31682,6.36053,6.35746,6.32169,6.33105,6.34121,6.34628,6.35134,6.36143
14,6.00851,5.98955,6.02999,6.02728,5.99545,6.00402,6.01299,6.01746,6.02192,6.03082
15,5.70621,5.68763,5.72543,5.72303,5.69425,5.7022,5.71022,5.71421,5.71818,5.72609
