Energy_MeV,Mix1,Mix2,Mix3,Mix4,Mix5,Mix6,Mix7,Mix8,Mix9,Mix10
0.015,1.83185,1.88991,1.77751,1.77246,1.81628,1.82661,1.83714,1.8425,1.8479,1.85889
0.02,3.52311,3.74551,3.31904,3.30386,3.44535,3.49682,3.54978,3.57684,3.60429,3.66041
0.03,14.7645,16.5449,13.5869,13.4601,13.9608,14.4826,15.0526,15.3468,15.6474,16.2682
0.04,57.4512,66.2875,53.3303,52.6617,54.6635,55.9733,59.1322,60.8597,62.6349,66.3319
0.05,146.859,168.069,138.327,136.39,141.208,144.954,151.083,155.786,160.624,170.719
0.06,260.612,291.727,246.331,242.805,250.452,257.189,265.233,273.329,281.656,299.028
0.08,419.337,455.847,398.982,393.36,403.388,413.968,424.761,433.876,446.052,471.397
0.1,451.369,484.478,431.318,425.41,434.645,445.724,457.086,463.954,477.04,504.174
0.15,364.116,380.499,352.065,348.038,353.081,360.419,367.83,371.563,378.393,396.771
0.2,262.334,271.23,255.037,252.442,255.273,259.968,264.713,267.103,270.904,282.06
0.3,148.403,151.634,145.273,144.099,145.216,147.333,149.48,150.564,151.876,157.153
0.356,116.264,118.433,114.106,113.279,114.025,115.512,117.02,117.781,118.618,122.366
0.4,97.4336,99.0544,95.82,95.1926,95.739,96.8652,98.0055,98.5809,99.1767,102.059
0.5,70.3323,71.29,69.3788,69.0013,69.3145,69.9909,70.6758,71.0214,71.3692,73.1296
0.511,68.2658,69.1783,67.3569,66.9965,67.2946,67.9401,68.5935,68.9231,69.2548,70.9291
0.6,54.2716,54.891,53.6534,53.4056,53.6055,54.0484,54.496,54.7216,54.9484,56.0368
0.662,47.7897,48.2924,47.2886,47.0854,47.2431,47.6064,47.974,48.1595,48.3461,49.1988
0.8,36.8316,37.1336,36.531,36.4094,36.5045,36.7219,36.942,37.0531,37.1649,37.696
1,27.727,27.91,27.5443,27.4701,27.5278,27.6603,27.7941,27.8615,27.9292,28.2395
1.173,24.5686,24.913,24.2286,24.1869,24.5036,24.5468,24.5903,24.6121,24.634,24.678
1.33,21.8225,22.0906,21.5577,21.5758,21.9356,21.8601,21.7849,21.7474,21.71,21.6353
1.5,18.5676,18.7485,18.3887,18.4077,18.6666,18.6005,18.5347,18.5019,18.4692,18.404
2,13.8155,13.9315,13.7033,13.7171,13.8843,13.8384,13.7928,13.7701,13.7475,13.7025
2.51,11.2144,11.2846,11.1481,11.1564,11.2554,11.228,11.2008,11.1873,11.1738,11.147
3,9.39479,9.43527,9.35824,9.36287,9.41757,9.40236,9.38724,9.37972,9.37221,9.35725
4,7.37273,7.39195,7.35562,7.35779,7.38341,7.37628,7.36918,7.36564,7.36211,7.35507
5,6.16173,6.17082,6.15566,6.15643,6.16552,6.16299,6.16047,6.15921,6.15795,6.15545
6,5.45774,5.46401,5.45142,5.45222,5.46168,5.45905,5.45643,5.45512,5.45381,5.45119
7,4.9167,4.91979,4.91525,4.91544,4.91769,4.917,4.9164,4.9161,4.9158,4.91519
8,4.47236,4.47335,4.47386,4.47368,4.47158,4.47203,4.47268,4.473,4.47331,4.47391
9,4.15382,4.15408,4.15588,4.15563,4.15268,4.15338,4.15426,4.1547,4.15512,4.15596
10,3.87478,3.8746,3.87745,3.87712,3.87339,3.8742,3.87535,3.87591,3.87646,3.87754
11,3.68044,3.68051,3.68205,3.68186,3.67962,3.6801,3.68078,3.68112,3.68145,3.68211
12,3.50522,3.50548,3.50607,3.50597,3.50484,3.50504,3.5054,3.50558,3.50576,3.5061
13,3.34589,3.34627,3.3462,3.34617,3.3458,3.34583,3.34596,3.34602,3.34609,3.34621
14,3.19995,3.20039,3.1999,3.19991,3.20004,3.19996,3.19994,3.19993,3.19992,3.1999
15,3.06544,3.06589,3.06517,3.0652,3.06563,3.06549,3.06538,3.06533,3.06527,3.06516
