Energy_MeV,Mix1,Mix2,Mix3,Mix4,Mix5,Mix6,Mix7,Mix8,Mix9,Mix10
0.015,2.4586,2.57701,2.34957,2.33952,2.42719,2.44801,2.46932,2.48017,2.49115,2.51351
0.02,6.8425,7.58387,6.19067,6.14725,6.59068,6.75692,6.92978,7.01879,7.10957,7.2966
0.03,65.917,82.8625,56.553,55.7671,58.8762,63.3869,68.5473,71.2805,74.1195,80.1259
0.04,599.2,838.37,538.837,531.857,552.166,564.484,641.894,687.19,735.187,839.66
0.05,3330.26,4532.25,3108.95,3055.81,3186.04,3282.72,3550.23,3811.29,4088.63,4694.98
0.06,10241,13041.1,9558.97,9382.84,9761.03,10082.3,10542.1,11280.3,12063.1,13771
0.08,27334,32179.4,25667.5,25190.1,26036.7,26904.3,27760.6,28915.5,30705.5,34579.3
0.1,39840.6,45887.8,36999.1,36163.5,37470.3,39040.2,40651.2,41736.4,44367.9,49993.8
0.15,31417.8,33459.3,30270,29861.9,30371.1,31077.7,31748.5,32069.3,33099.7,36266.6
0.2,15536.4,16193.6,15131.1,14976.9,15144.9,15409.7,15659.2,15777.9,16152.8,17562.6
0.3,5399.91,5532.18,5269.39,5218.86,5266.93,5355.99,5443.37,5486.37,5548.57,5906.36
0.356,3342.09,3410.16,3271.29,3243.35,3268.56,3317.79,3366.18,3390.03,3417.92,3596.37
0.4,2315.33,2355.08,2273.89,2257.3,2271.77,2300.94,2329.57,2343.66,2358.32,2457.6
0.5,1232.92,1250.83,1214.46,1206.98,1213.19,1226.39,1239.42,1245.88,1252.28,1309.52
0.511,1168.35,1184.86,1151.31,1144.4,1150.12,1162.31,1174.35,1180.3,1186.21,1237.79
0.6,756.107,764.338,747.544,744.016,746.866,753.055,759.13,762.122,765.083,782.941
0.662,610.461,617.491,603.276,600.311,602.613,607.853,613.06,615.651,618.231,630.941
0.8,374.751,378.041,371.438,370.088,371.145,373.547,375.958,377.168,378.38,384.818
1,226.272,227.737,224.778,224.162,224.642,225.73,226.813,227.352,227.889,231.179
1.173,188.295,191.338,185.244,184.867,187.716,188.102,188.489,188.683,188.877,189.267
1.33,149.647,151.338,147.949,148.065,150.364,149.886,149.408,149.168,148.929,148.45
1.5,108.526,109.082,107.966,108.026,108.832,108.628,108.424,108.322,108.219,108.015
2,69.4814,70.1445,68.8269,68.9076,69.8807,69.6141,69.3489,69.2168,69.085,68.8224
2.51,51.6474,52.0493,51.2424,51.2928,51.8983,51.7307,51.5644,51.4818,51.3994,51.2358
3,37.9656,38.0842,37.867,37.8796,38.0262,37.9858,37.9454,37.9251,37.9048,37.8643
4,26.3379,26.3471,26.3466,26.3459,26.3289,26.3352,26.3402,26.3423,26.3441,26.3468
5,20.3824,20.3501,20.4481,20.4397,20.341,20.3687,20.3961,20.4098,20.4234,20.4503
6,17.5274,17.4685,17.5863,17.5789,17.4894,17.5148,17.5398,17.5521,17.5643,17.5884
7,14.416,14.3527,14.5465,14.5286,14.3478,14.3915,14.4413,14.4675,14.4947,14.5517
8,12.3367,12.2955,12.4298,12.4155,12.3007,12.3227,12.3525,12.37,12.3894,12.4339
9,11.5691,11.5069,11.698,11.6812,11.4967,11.543,11.5954,11.622,11.6488,11.703
10,11.1966,11.1754,11.2216,11.2184,11.1821,11.1916,11.2017,11.2068,11.212,11.2225
11,10.3186,10.2941,10.3549,10.3502,10.2979,10.3112,10.3261,10.3335,10.341,10.3561
12,9.57912,9.55239,9.62051,9.61527,9.55568,9.57059,9.58767,9.59623,9.6048,9.622
13,8.9448,8.91648,8.98732,8.98195,8.92063,8.93599,8.95361,8.96243,8.97125,8.98889
14,8.39179,8.36207,8.43302,8.4278,8.36785,8.38319,8.40037,8.40895,8.41751,8.43461
15,7.90216,7.87146,7.94046,7.93566,7.87928,7.89417,7.91013,7.91808,7.926,7.94177
